nomor_cabai,gambar,Panjang_Cabai,berat_cabai,kadar_air,label
9,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 9b_6_1.jpg,6.6,2.31,26.41,Sedang
12,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 12b_5_2.jpg,6.0,2.01,24.87,Sedang
23,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 23b_5_2.jpg,5.7,2.39,22.18,Sedang
21,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 21b_6_2.jpg,7.0,2.66,22.18,Sedang
5,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 5a_6_2.jpg,6.7,1.98,25.76,Sedang
9,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 9b_6_1.jpg,6.6,2.31,26.41,Sedang
4,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 4a_5_1.jpg,5.5,0.9,44.44,Sedang
19,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 19b_6_2.jpg,6.0,2.26,32.3,Sedang
17,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 17a_4_2.jpg,5.8,2.61,27.2,Sedang
32,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 32a_2_2.jpg,6.4,3.84,28.65,Sedang
23,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 23b_6_2.jpg,5.7,2.3,19.13,Sedang
20,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 20b_5_2.jpg,7.7,3.86,20.21,Sedang
8,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 8b_4_2.jpg,5.5,1.85,40.54,Sedang
27,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 27b_4_2.jpg,6.3,2.56,29.29,Sedang
20,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 20b_3_2.jpg,7.7,4.12,25.24,Sedang
15,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 15b_5_2.jpg,4.9,2.09,22.49,Sedang
31,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31a_4_2.jpg,4.8,1.94,21.65,Sedang
14,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 14b_4_2.jpg,6.3,2.14,32.71,Sedang
17,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 17b_6_2.jpg,5.8,2.41,21.16,Sedang
27,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 27b_1_2.jpg,6.3,2.46,26.42,Sedang
23,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 23b_6_2.jpg,5.7,2.3,19.13,Sedang
4,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 4b_6_2.jpg,5.5,0.82,39.02,Sedang
16,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 16b_3_2.jpg,5.6,2.39,35.1,Sedang
16,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 16b_7_2.jpg,5.6,2.04,24.02,Sedang
18,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 18a_4_2.jpg,6.0,2.12,30.6,Sedang
17,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 17a_5_2.jpg,5.8,2.51,24.3,Sedang
11,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 11a_4_2.jpg,5.5,1.62,27.16,Sedang
7,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 7a_1_2.jpg,5.4,1.76,19.89,Sedang
32,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 32a_2_2.jpg,6.4,3.84,28.65,Sedang
16,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 16b_7_2.jpg,5.6,2.04,24.02,Sedang
9,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 9b_4_2.jpg,6.6,2.42,29.75,Sedang
21,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 21b_1_2.jpg,7.0,3.03,31.68,Sedang
29,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 29b_0_1.jpg,5.2,2.25,25.7,Sedang
8,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 8b_6_1.jpg,5.5,1.74,36.78,Sedang
18,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 18a_4_2.jpg,6.0,2.12,30.6,Sedang
28,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 28_4_2.jpg,6.2,2.77,23.1,Sedang
9,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 9b_5_2.jpg,6.6,2.66,36.09,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10a_6_a.jpg,5.7,2.01,25.37,Sedang
27,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 27b_4_2.jpg,6.3,2.56,29.29,Sedang
28,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 28b_1_2.jpg,6.2,2.87,25.78,Sedang
