nomor_cabai,gambar,berat_cabai,kadar_air,label
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1a_6_0.png,3.83,7.05,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1a_6_1.png,3.83,7.05,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1a_6_2.png,3.83,7.05,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1a_7_0.png,3.65,2.47,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1a_7_1.png,3.65,2.47,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1a_7_2.png,3.65,2.47,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1a_8_0.png,3.56,2.47,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1a_8_1.png,3.56,2.47,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1a_8_2.png,3.56,2.47,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1b_6_0.png,3.83,7.05,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1b_6_1.png,3.83,7.05,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1b_6_2.png,3.83,7.05,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1b_7_0.png,3.65,2.47,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1b_7_1.png,3.65,2.47,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1b_7_2.png,3.65,2.47,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1b_8_0.png,3.56,2.47,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1b_8_1.png,3.56,2.47,kering
1,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 1b_8_2.png,3.56,2.47,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2a_6_0.png,2.05,9.27,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2a_6_1.png,2.05,9.27,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2a_6_2.png,2.05,9.27,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2a_7_0.png,1.92,3.12,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2a_7_1.png,1.92,3.12,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2a_7_2.png,1.92,3.12,kering
