Berat_Cabai;Kadar_Air;Label
2;37;Fresh
2;37;Fresh
2;37;Fresh
2;37;Fresh
2;37;Fresh
2;37;Fresh
2;34;Fresh
2;34;Fresh
2;34;Fresh
2;34;Fresh
2;32;Fresh
2;32;Fresh
2;32;Fresh
2;32;Fresh
2;29;Fresh
2;29;Fresh
2;29;Fresh
2;29;Fresh
2;27;Medium
2;27;Medium
2;24;Medium
2;24;Medium
2;21;Medium
2;21;Medium
2;18;Medium
2;18;Medium
2;10;Dry
2;10;Dry
2;4;Dry
2;4;Dry
2;4;Dry
2;0;Dry
2;0;Dry
3;42;Fresh
3;42;Fresh
3;42;Fresh
3;42;Fresh
3;42;Fresh
3;42;Fresh
3;39;Fresh
3;39;Fresh
2;37;Fresh
2;37;Fresh
2;34;Fresh
2;34;Fresh
2;32;Medium
2;32;Medium
2;29;Medium
2;29;Medium
2;26;Medium
2;26;Medium
2;22;Medium
2;22;Medium
2;12;Dry
2;12;Dry
2;6;Dry
2;6;Dry
2;0;Dry
2;0;Dry
3;37;Fresh
3;37;Fresh
3;37;Fresh
3;37;Fresh
3;37;Fresh
3;37;Fresh
3;35;Fresh
3;35;Fresh
3;32;Fresh
3;32;Fresh
3;30;Fresh
3;30;Fresh
3;27;Medium
3;27;Medium
3;25;Medium
3;25;Medium
2;22;Medium
2;22;Medium
2;19;Medium
2;19;Medium
2;11;Dry
2;11;Dry
2;5;Dry
2;5;Dry
2;0;Dry
2;0;Dry
1;64;Fresh
1;64;Fresh
1;64;Fresh
1;64;Fresh
1;64;Fresh
1;64;Fresh
1;60;Fresh
1;60;Fresh
1;59;Fresh
1;59;Fresh
1;56;Fresh
1;56;Fresh
1;52;Medium
1;52;Medium
1;49;Medium
1;49;Medium
1;44;Medium
1;44;Medium
1;39;Medium
1;39;Medium
1;24;Dry
1;24;Dry
1;12;Dry
1;12;Dry
1;0;Dry
1;0;Dry
3;42;Fresh
3;42;Fresh
3;42;Fresh
3;42;Fresh
3;42;Fresh
3;42;Fresh
2;40;Fresh
2;40;Fresh
2;37;Fresh
2;37;Fresh
2;32;Medium
2;32;Medium
2;29;Medium
2;29;Medium
2;26;Medium
2;26;Medium
2;22;Medium
2;22;Medium
2;12;Dry
2;12;Dry
2;6;Dry
2;6;Dry
1;0;Dry
1;0;Dry
3;43;Fresh
3;43;Fresh
3;43;Fresh
3;43;Fresh
3;43;Fresh
3;43;Fresh
2;40;Fresh
2;40;Fresh
2;37;Fresh
2;37;Fresh
2;34;Fresh
2;34;Fresh
2;31;Medium
2;31;Medium
2;29;Medium
2;29;Medium
2;25;Medium
2;25;Medium
2;21;Medium
2;21;Medium
2;12;Dry
2;12;Dry
1;2;Dry
1;2;Dry
1;0;Dry
1;0;Dry
2;41;Fresh
2;41;Fresh
2;41;Fresh
2;41;Fresh
2;41;Fresh
2;41;Fresh
2;38;Fresh
2;38;Fresh
2;35;Fresh
2;35;Fresh
2;33;Fresh
2;33;Fresh
2;30;Medium
2;30;Medium
2;27;Medium
2;27;Medium
2;23;Medium
2;23;Medium
2;20;Medium
2;20;Medium
2;11;Dry
2;11;Dry
2;6;Dry
2;6;Dry
1;0;Dry
1;0;Dry
2;55;Fresh
2;55;Fresh
2;55;Fresh
2;55;Fresh
2;55;Fresh
2;55;Fresh
2;55;Fresh
2;52;Fresh
2;52;Fresh
2;50;Fresh
2;50;Fresh
2;47;Fresh
2;47;Fresh
2;44;Medium
2;44;Medium
2;41;Medium
2;41;Medium
2;37;Medium
2;37;Medium
2;33;Medium
2;33;Medium
1;18;Dry
1;18;Dry
1;10;Dry
1;10;Dry
1;0;Dry
1;0;Dry
3;46;Fresh
3;46;Fresh
3;46;Fresh
3;46;Fresh
3;46;Fresh
3;46;Fresh
3;43;Fresh
3;43;Fresh
3;41;Fresh
3;41;Fresh
3;39;Fresh
3;39;Fresh
3;36;Medium
3;36;Medium
3;33;Medium
3;33;Medium
2;30;Medium
2;30;Medium
2;26;Medium
2;26;Medium
2;15;Dry
2;15;Dry
2;7;Dry
2;7;Dry
2;0;Dry
2;0;Dry
3;46;Fresh
3;46;Fresh
3;46;Fresh
3;46;Fresh
3;46;Fresh
3;46;Fresh
3;44;Fresh
3;44;Fresh
